"رفت","رو",,,
"افکند","افکن",,"ی",
"افزود","افزا","د","ی",
"گفتن","گو","د",,
"مرد","میر",,,
"کاشت","کار",,,
"برد","بر",,,
"بافت","باف",,,
"بافید","باف",,,
"بافاند","بافان",,,
"گذاشت","گذار",,,
"پذیرفت","پذیر",,,
"فرستاد","فرست",,,
"تاخت","تاز",,,
"تازاند","تازان",,,
"تازان",,,,
"خواند","خوان",,,
"ستود","ستا","د",,
"پرداخت","پرداز",,,
"بر",,,,
"براند","بران",,,
"بران",,,,
"فکند","فکن",,,
"افراشت","افراز",,"ی",
"یار",,,,
"نگریست","نگر",,,
"نگارید","نگار",,,
"انگاشت","انگار",,"ی",
"ربود","ربا","د",,
"دانست","دان",,,
"انگیخت","انگیز",,"ی",
"سوخت","سوز",,,
"سوزاند","سوزان",,,
"خواست","خواه",,,
"زد","زن",,,
"گریخت","گریز",,,
"شتافت","شتاب",,,
"شتابید","شتاب",,,
"یافت","یاب",,,
"انباشت","انبار",,"ی",
"کاست","کاه",,,
"کاهید","کاهاند",,,
"گماشت","گمار",,,
"خورد","خور",,,
"خوراند","خوران",,,
"خورانید","خوران",,,
"باخت","باز",,,
"باختاند","بازان",,,
"پوشید","پوش",,,
"پوشاند","پوشان",,,
"پوشانید","پوشان",,,
"هشت","هل",,,
"گرفت","گیر",,,
"سپرد","سپر",,,
"چید","چین",,,
"پالود","پالا‍","د",,
"اندود",,,"ی",
"نواخت","نواز",,,
"نوازاند","نوازان",,,
"تافت","تاف",,,
"تابید","تاب",,,
"تاباند","تابان",,,
"زدود","زدای",,,
"سرود","سرای",,,
"سرایید","سرای",,,
"خوابید","خواب",,,
"خوابان",,,,
"خواباند","خوابان",,,
"افشرد","افشر",,"ی",
"خاست","خیز",,,
"خیزید","خیز",,,
"خیزاند","خیزان",,,
"خیزان",,,,
"کند","کن",,,
"پراکند","پراکن",,,
"ساخت","ساز",,,
"شست","شوی",,,
"گداخت","گداز",,,
"گذازاند","گدازان",,,
"گدازان",,,,
"توانست","توان",,,
"افتاد","افت",,"ی",
"پخت","پز",,,
"پزاند","پزان",,,
"پزان",,,,
"خرید","خر",,,
"فهم",,,,
"فهماند","فهمان",,,
"فهمان",,,,
"زید","زی",,,
"زیست","زی",,,
"شکست","شکن",,,
"گریست","گری",,,
"شایید","شای",,,
"شایست","شای",,,
"نهاند","نه",,,
"درید","در",,,
"دراند","دران",,,
"گشت","گرد",,,
"کوفت","کوب",,,
"کوبید","کوب",,,
"کوباند","کوبان",,,
"نشاند","نشان",,,
"نشاست","نشان",,,
"راند","ران",,,
"ران",,,,
"ماند","مان",,,
"کش",,,,
"کشاند","کشان",,,
"کشان",,,,
"پیوست","پیوند",,,
"بخشید","بخش",,,
"شمرد","شمار",,,
"ریخت","ریز",,,
"ریزاند","ریزان",,,
"ریزان",,,,
"گذشت","گذر",,,
"گذراند","گذران",,,
"گذران",,,,
"شنید","شنو",,,
"شنفت","شنو",,,
"شنواند","شنوان",,,
"ستاند","ستان",,,
"ستان",,,,
"پیمود","پیمای",,,
"پیمایید","پیمای",,,
"زاد","زا","د",,
"زایید","زا","د",,
"زایاند","زایان",,,
"گشود","گشای",,,
"گزارد","گزار",,,
"گزاشت","گزار",,,
"نمود","نمای",,,
"پنداشت","پندار",,,
"بست","بند",,,
"فشرد","فشار",,,
"فشارید","فشار",,,
"فشاراند","فشاران",,,
"فشاران",,,,
"فریفت","فریب",,,
"فریب",,,,
"فرییباند","فریبان",,,
"فریبان",,,,
"نیوشید","نیوش",,,
"نیوشاند","نیوشان",,,
"فرمود","فرمای",,,
"بیخت","بیز",,,
"بیز",,,,
"داد","ده",,,
"شناخت","شناس",,,
"شناساند","شناسان",,,
"شناسان",,,,
"پر",,,,
"پراند","پران",,,
"پران",,,,
"تپاند","تپان",,,
"تپان",,,,
"رنجید","رنج",,,
"رنجاند","رنجان",,,
"رنجان",,,,
"تپ",,,,
"تپاند","تپان",,,
"تپان",,,,
"پرورد","پرور",,,
"پرور",,,,
"پروراند","پروران",,,
"پروران",,,,
"مانست","مان",,,
"ماند","مان",,,
"نهفت","نهفت",,,
"رسید","رس",,,
"اندوخت","اندوز",,"ی",
"اندوزاند","اندوزان",,"ی",
"اندوزان",,,"ی",
"نوشت","نویس",,,
"افروخت","افروز",,"ی",
"افروزان",,,"ی",
"افروزاند","افروزان",,"ی",
"ایستاد","ایست",,"ی",
"ایستاند","ایستان",,"ی",
"ایستان",,,"ی",
"ریسید","ریس",,,
"رشت","ریس",,,
"کافت","کاو",,,
"کاوید","کاو",,,
"کاواند","کاوان",,,
"کاوان",,,,
"سرشت","سریشیدن",,,
"مشت",,,,
"مالید","مال",,,
"مالاند","مالان",,,
"مالان",,,,
"مشت",,,,
"فرغار",,,,
"آزمود","آزما","د","ی","!!!"
"انداخت","انداز",,"ی",
